iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,updated_date
MLI,Africa,Mali,2021-06-10,14329,1,6.857,521,0,0.571,707.576,0.049,0.339,25.727,0,0.028,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157129,115048,42081,NA,2938,0.78,0.57,0.21,145,44.44,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,NA,2021-06-10
MRT,Africa,Mauritania,2021-06-10,19959,36,37.714,472,2,1.143,4292.572,7.743,8.111,101.513,0.43,0.246,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44628,37726,6902,NA,706,0.96,0.81,0.15,152,NA,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,0.546,NA,2021-06-10
MUS,Africa,Mauritius,2021-06-10,1496,0,10.714,18,0,0,1176.316,0,8.425,14.154,0,0,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455242,247673,207569,NA,6805,35.8,19.47,16.32,5351,80.56,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,2021-06-10
MAR,Africa,Morocco,2021-06-10,522765,376,334.571,9192,2,3.857,14163.021,10.187,9.064,249.034,0.054,0.104,1.08,NA,NA,NA,NA,NA,NA,NA,NA,9189,6079920,164.72,0.249,8524,0.231,0.039,25.5,people tested,16237673,9359017,6878656,195003,189216,43.99,25.36,18.64,5126,71.3,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,0.686,NA,2021-06-10
MOZ,Africa,Mozambique,2021-06-10,71279,40,44.857,840,0,0.429,2280.531,1.28,1.435,26.875,0,0.014,1.15,NA,NA,NA,NA,NA,NA,NA,NA,1175,564481,18.06,0.038,1062,0.034,0.042,23.7,units unclear,394930,320129,74801,NA,62,1.26,1.02,0.24,2,63.89,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,NA,2021-06-10
NAM,Africa,Namibia,2021-06-10,61374,1045,627.571,968,18,13,24154.281,411.269,246.986,380.965,7.084,5.116,1.35,NA,NA,NA,NA,NA,NA,NA,NA,3178,457886,180.205,1.251,2326,0.915,0.27,3.7,samples tested,96433,82845,13588,3372,1932,3.8,3.26,0.53,760,35.19,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.646,NA,2021-06-10
NER,Africa,Niger,2021-06-10,5444,4,4,192,0,0,224.897,0.165,0.165,7.932,0,0,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180987,170716,10271,NA,1651,0.75,0.71,0.04,68,30.56,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,NA,2021-06-10
NGA,Africa,Nigeria,2021-06-10,166982,0,42.857,2117,0,0,810.043,0,0.208,10.27,0,0,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2180444,10.578,NA,6769,0.033,0.006,159,samples tested,2225765,1964095,261670,58913,34503,1.08,0.95,0.13,167,52.78,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,54.69,0.539,NA,2021-06-10
RWA,Africa,Rwanda,2021-06-10,27660,112,77.286,366,1,1.143,2135.543,8.647,5.967,28.258,0.077,0.088,1.41,NA,NA,NA,NA,NA,NA,NA,NA,3959,1482838,114.485,0.306,4137,0.319,0.019,53.5,samples tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.96,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,69.02,0.543,NA,2021-06-10
STP,Africa,Sao Tome and Principe,2021-06-10,2355,1,0.857,37,0,0,10745.525,4.563,3.911,168.826,0,0,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23644,12374,11270,NA,458,10.79,5.65,5.14,2090,NA,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,0.625,NA,2021-06-10
SEN,Africa,Senegal,2021-06-10,41850,54,44.429,1150,0,0.857,2499.413,3.225,2.653,68.682,0,0.051,1.13,NA,NA,NA,NA,NA,NA,NA,NA,1349,545153,32.558,0.081,1452,0.087,0.031,32.7,tests performed,545915,474136,71779,NA,2536,3.26,2.83,0.43,151,23.15,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.512,NA,2021-06-10
SYC,Africa,Seychelles,2021-06-10,12466,0,120.714,46,0,0.571,126764.287,0,1227.52,467.765,0,5.811,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137196,70653,66543,NA,84,139.51,71.85,67.67,854,63.89,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,2021-06-10
